opentime,Order,Symbol,Type,Volume,Price,S / L,T / P,closetime,State,,Comment,,,
2023.02.17 16:53:15,68955935,USDMXN,buy,0.01 / 0.01,market,,,2023.02.17 16:53:15,filled,,,,,
2023.02.21 15:21:00,69015535,EURUSD,sell,1 / 1,market,,,2023.02.21 15:21:00,filled,,,,,
2023.02.21 15:26:00,69015722,EURUSD,buy,1 / 1,market,,,2023.02.21 15:26:00,filled,,,,,
2023.02.21 15:27:35,69015775,EURUSD,buy,1 / 1,market,,,2023.02.21 15:27:35,filled,,,,,
2023.02.23 16:23:31,69170062,EURGBP,buy,1 / 1,market,, 0.88100,2023.02.23 16:23:31,filled,,,,,
2023.02.23 17:50:37,69180005,EURGBP,sell,1 / 1, 0.88100,,,2023.02.23 17:50:37,filled,,[tp 0.88100],,,
2023.02.23 22:52:51,69190500,AAPL.O,buy,20 / 20,market,, 149.77,2023.02.23 22:52:51,filled,,,,,
2023.02.23 22:54:42,69190525,AMC.N,buy,20 / 20,market,, 6.25,2023.02.23 22:54:42,filled,,,,,
2023.02.23 22:56:43,69190573,MRNA.O,buy,30 / 30,market,, 148.25,2023.02.23 22:56:43,filled,,,,,
2023.02.23 22:57:28,69190598,USDCAD,buy,30 / 30,market,, 1.35415,2023.02.23 22:57:28,filled,,,,,
2023.02.23 22:58:05,69190608,USDCAD,sell,30 / 30, 1.35415,,,2023.02.23 22:58:05,filled,,[tp 1.35415],,,
2023.02.23 23:04:06,69190809,EURGBP,buy,30 / 30,market,, 0.88195,2023.02.23 23:04:06,filled,,,,,
2023.02.23 23:05:11,69190832,CARDANO,buy,30 / 30,market,, 0.415,2023.02.23 23:05:11,filled,,,,,
2023.02.23 23:06:19,69190857,USDCHF,buy,50 / 50,market,, 0.93370,2023.02.23 23:06:19,filled,,,,,
2023.02.23 23:22:49,69191043,USDCHF,sell,50 / 50, 0.93370,,,2023.02.23 23:22:49,filled,,[tp 0.93370],,,
2023.02.24 02:03:02,69192319,EURGBP,sell,30 / 30, 0.88195,,,2023.02.24 02:03:02,filled,,[tp 0.88195],,,
2023.02.24 15:17:14,69234282,EURUSD,sell,1 / 1,market,,,2023.02.24 15:17:14,filled,,,,,
2023.02.24 15:20:36,69234524,EURGBP,buy,5 / 5,market,, 0.88225,2023.02.24 15:20:36,filled,,,,,
2023.02.24 15:22:56,69234748,EURGBP,sell,5 / 5, 0.88225,,,2023.02.24 15:22:56,filled,,[tp 0.88225],,,
2023.02.24 15:42:46,69239658,CARDANO,sell,30 / 30,market,,,2023.02.24 15:42:46,filled,,,,,
2023.02.24 16:35:05,69245625,AAPL.O,sell,20 / 20,market,,,2023.02.24 16:35:05,filled,,,,,
2023.02.24 16:35:12,69245648,AMC.N,sell,20 / 20,market,,,2023.02.24 16:35:12,filled,,,,,
2023.02.24 16:35:21,69245677,MRNA.O,sell,30 / 30,market,,,2023.02.24 16:35:21,filled,,,,,
2023.02.24 16:38:51,69246345,EURGBP,buy,0.03 / 0.03,market,, 0.88301,2023.02.24 16:38:51,filled,,,,,
2023.02.24 16:39:22,69246795,USDCAD,buy,0.05 / 0.05,market,, 1.36425,2023.02.24 16:39:22,filled,,,,,
2023.02.24 16:40:21,69247071,GBPUSD,buy,0.05 / 0.05,market,, 1.19572,2023.02.24 16:40:21,filled,,,,,
2023.02.24 16:40:26,69247078,USDCAD,sell,0.05 / 0.05, 1.36425,,,2023.02.24 16:40:26,filled,,[tp 1.36425],,,
2023.02.24 16:40:32,69247088,EURGBP,sell,0.03 / 0.03, 0.88301,,,2023.02.24 16:40:32,filled,,[tp 0.88301],,,
2023.02.24 16:41:14,69247195,EURGBP,buy,0.05 / 0.05,market,, 0.88340,2023.02.24 16:41:14,filled,,,,,
2023.02.24 16:42:46,69247310,EURUSD,buy,0.05 / 0.05,market,, 1.05500,2023.02.24 16:42:46,filled,,,,,
2023.02.24 16:43:48,69247579,GBPJPY,buy,0.05 / 0.05,market,, 162.739,2023.02.24 16:43:48,filled,,,,,
2023.02.24 16:49:52,69249726,GBPJPY,sell,0.05 / 0.05, 162.739,,,2023.02.24 16:49:52,filled,,[tp 162.739],,,
2023.02.24 17:00:04,69250681,EURUSD,sell,0.05 / 0.05, 1.05500,,,2023.02.24 17:00:04,filled,,[tp 1.05500],,,
2023.02.24 17:03:38,69251057,GBPUSD,sell,0.05 / 0.05, 1.19572,,,2023.02.24 17:03:38,filled,,[tp 1.19572],,,
2023.02.24 17:51:09,69256064,USDCAD,buy,1.23 / 1.23,market, 1.36278, 1.36500,2023.02.24 17:51:09,filled,,,,,
2023.02.24 17:51:21,69256079,USDCAD,sell,1.23 / 1.23, 1.36500,,,2023.02.24 17:51:21,filled,,[tp 1.36500],,,
2023.02.24 17:52:00,69256168,USDCAD,buy,1.23 / 1.23,market, 1.36278, 1.36666,2023.02.24 17:52:00,filled,,,,,
2023.02.24 18:09:06,69258097,USDCAD,sell,1.23 / 1.23, 1.36278,,,2023.02.24 18:09:06,filled,,[sl 1.36278],,,
2023.02.24 18:14:34,69259375,USDCHF,buy,10.15 / 10.15,market,,,2023.02.24 18:14:34,filled,,,,,
2023.02.24 18:27:48,69262206,USDCAD,sell,0.01 / 0.01,market,,,2023.02.24 18:27:48,filled,,,,,
2023.02.24 18:29:41,69262634,USDCAD,buy,0.01 / 0.01,market,,,2023.02.24 18:29:41,filled,,,,,
2023.02.24 18:31:35,69262930,EURGBP,sell,0.05 / 0.05, 0.88340,,,2023.02.24 18:31:35,filled,,[tp 0.88340],,,
2023.02.24 19:20:53,69270962,EURUSD,buy,1.14 / 1.14,market,,,2023.02.24 19:20:53,filled,,,,,
2023.02.24 19:22:21,69271301,EURUSD,sell,1.14 / 1.14, 1.05518,,,2023.02.24 19:22:21,filled,,[tp 1.05518],,,
2023.02.24 19:22:38,69271380,EURUSD,buy,1.14 / 1.14,market,,,2023.02.24 19:22:38,filled,,,,,
2023.02.24 19:33:16,69273363,EURUSD,sell,1.14 / 1.14, 1.05574,,,2023.02.24 19:33:16,filled,,[tp 1.05574],,,
2023.02.24 19:48:57,69275856,USDCHF,sell,10.15 / 10.15, 0.94013,,,2023.02.24 19:48:57,filled,,[tp 0.94013],,,
2023.02.24 21:29:53,69281987,USDCAD,buy,6.52 / 6.52,market,,,2023.02.24 21:29:53,filled,,,,,
2023.02.24 21:30:33,69281995,USDCAD,sell,6.52 / 6.52,market,,,2023.02.24 21:30:33,filled,,,,,
2023.02.24 21:30:42,69282012,USDCAD,sell,6.52 / 6.52,market,,,2023.02.24 21:30:42,filled,,,,,
2023.02.24 21:50:55,69282609,USDCAD,buy,6.52 / 6.52, 1.36040,,,2023.02.24 21:50:55,filled,,[tp 1.36040],,,
2023.02.27 20:05:05,69351832,GBPJPY,buy,6.52 / 6.52,market,,,2023.02.27 20:05:05,filled,,,,,
2023.02.27 20:05:28,69351837,GBPJPY,sell,6.52 / 6.52,market,,,2023.02.27 20:05:28,filled,,,,,
2023.02.27 20:05:38,69351841,GBPJPY,buy,2.23 / 2.23,market,,,2023.02.27 20:05:38,filled,,,,,
2023.02.27 20:08:10,69351897,EURGBP,buy,7.51 / 7.51,market,,,2023.02.27 20:08:10,filled,,,,,
2023.02.27 20:10:13,69351929,USDCAD,buy,22.13 / 22.13,market,,,2023.02.27 20:10:13,filled,,,,,
2023.02.27 23:23:33,69358775,GBPJPY,sell,2.23 / 2.23, 164.294,,,2023.02.27 23:23:33,filled,,[tp 164.294],,,
2023.02.28 00:00:27,69359002,EURGBP,sell,7.51 / 7.51, 0.87905,,,2023.02.28 00:00:27,filled,,[sl 0.87905],,,
2023.02.28 15:05:15,69420911,USDCAD,sell,22.13 / 22.13,market,,,2023.02.28 15:05:15,filled,,,,,
2023.02.28 15:07:20,69420989,USDCHF,buy,14.12 / 14.12,market,,,2023.02.28 15:07:20,filled,,,,,
2023.02.28 15:27:36,69422161,USDCHF,sell,14.12 / 14.12, 0.93679,,,2023.02.28 15:27:36,filled,,[sl 0.93679],,,
2023.02.28 15:37:19,69423086,EURUSD,buy,4.59 / 4.59,market,,,2023.02.28 15:37:19,filled,,,,,
