opentime,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment,
2023.02.28 19:56:11,53623619,,balance,,,,,0.00,0.00,0.00,100 000.00,100 000.00,User with ID a457400a-8e2e-464b,
2023.02.28 20:15:25,53625569,USDCHF,buy,in,3.74, 0.93839,69451372,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:26:44,53626643,USDCAD,buy,in,6.47, 1.36190,69452449,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:29:07,53626846,USDCHF,sell,out,3.74, 0.93881,69452662,0.00,0.00,0.00, 167.32,100 167.32,[tp 0.93880],
2023.02.28 20:45:27,53629960,USDCAD,sell,out,6.47, 1.36149,69455811,0.00,0.00,0.00,- 194.84,99 972.48,[sl 1.36148],
2023.03.01 18:10:58,53695455,USDCAD,buy,in,1.25, 1.36221,69524417,0.00,0.00,0.00,0.00,99 972.48,,
2023.03.01 18:15:34,53695693,USDCHF,buy,in,1.04, 0.93997,69524661,0.00,0.00,0.00,0.00,99 972.48,,
2023.03.01 18:26:41,53696161,USDJPY,buy,in,2.18, 136.020,69525164,0.00,0.00,0.00,0.00,99 972.48,,
2023.03.01 18:31:50,53696423,GBPJPY,buy,in,1.5, 163.475,69525428,0.00,0.00,0.00,0.00,99 972.48,,
2023.03.01 18:32:36,53696464,USDCHF,sell,out,1.04, 0.93815,69525471,0.00,0.00,0.00,- 201.76,99 770.72,[sl 0.93817],
2023.03.01 18:46:27,53697028,USDCAD,sell,out,1.25, 1.36016,69526055,0.00,0.00,0.00,- 188.40,99 582.32,[sl 1.36021],
2023.03.01 18:47:40,53697168,USDJPY,sell,out,2.18, 135.895,69526197,0.00,0.00,0.00,- 200.52,99 381.80,[sl 135.896],
2023.03.01 18:53:31,53697497,GBPUSD,buy,in,1.33, 1.20322,69526536,0.00,0.00,0.00,0.00,99 381.80,,
2023.03.01 18:59:16,53697672,EURGBP,buy,in,0.95, 0.88708,69526721,0.00,0.00,0.00,0.00,99 381.80,,
