opentime,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment,
2023.02.17 16:36:22,53138005,,balance,,,,,0.00,0.00,0.00,100 000.00,100 000.00,User with ID aa3c48d4-a325-47b3,
2023.02.24 18:03:45,53434631,EURGBP,buy,in,2.49, 0.88257,69257202,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.24 18:19:23,53437857,GBPJPY,buy,in,0.99, 162.866,69260442,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.24 18:23:11,53438365,EURGBP,sell,out,2.49, 0.88300,69260950,0.00,0.00,0.00, 127.89,100 127.89,[tp 0.88299],
2023.02.24 18:38:51,53441762,USDCAD,buy,in,0.22, 1.36234,69264383,0.00,0.00,0.00,0.00,100 127.89,,
2023.02.24 19:03:19,53444683,GBPJPY,sell,out,0.99, 163.029,69267348,0.00,0.00,0.00, 118.28,100 246.17,[tp 163.025],
2023.02.24 21:38:44,53459369,EURUSD,buy,in,16.7, 1.05512,69282178,0.00,0.00,0.00,0.00,100 246.17,,
2023.02.24 21:41:53,53459420,EURUSD,sell,out,16.7, 1.05478,69282232,0.00,0.00,0.00,- 567.80,99 678.37,,
2023.02.24 21:46:18,53459570,USDCAD,buy,in,8.87, 1.36087,69282385,0.00,0.00,0.00,0.00,99 678.37,,
2023.02.24 21:48:51,53459695,USDCAD,sell,out,9.09, 1.36042,69282509,0.00,0.00,0.00,- 324.45,99 353.92,[sl 1.36045],
2023.02.28 19:19:02,53620239,USDMXN,buy,in,1.14, 18.35735,69445945,0.00,0.00,0.00,0.00,99 353.92,,
2023.02.28 19:29:37,53621186,EURUSD,sell,in,1.53, 1.06010,69446900,0.00,0.00,0.00,0.00,99 353.92,,
2023.02.28 19:44:43,53622540,USDCAD,buy,in,0.76, 1.36171,69448289,0.00,0.00,0.00,0.00,99 353.92,,
2023.02.28 19:51:29,53623353,USDCHF,sell,in,0.52, 0.93728,69449096,0.00,0.00,0.00,0.00,99 353.92,,
2023.02.28 19:54:34,53623524,EURUSD,buy,out,1.53, 1.06080,69449268,0.00,0.00,0.00,- 107.10,99 246.82,[sl 1.06075],
2023.02.28 19:56:40,53623633,EURGBP,buy,in,0.91, 0.87655,69449371,0.00,0.00,0.00,0.00,99 246.82,,
2023.02.28 20:04:36,53623890,GBPUSD,sell,in,0.5, 1.20932,69449676,0.00,0.00,0.00,0.00,99 246.82,,
2023.02.28 20:14:07,53625480,EURMXN,buy,in,0.13, 19.44803,69451285,0.00,0.00,0.00,0.00,99 246.82,,
2023.02.28 20:22:56,53626536,EURUSD,sell,in,0.4, 1.05884,69452340,0.00,0.00,0.00,0.00,99 246.82,,
2023.02.28 20:27:40,53626675,USDCHF,buy,out,0.52, 0.93899,69452483,0.00,0.00,0.00,- 94.70,99 152.12,[sl 0.93898],
2023.02.28 20:38:53,53628764,GBPUSD,buy,out,0.5, 1.20722,69454612,0.00,0.00,0.00, 105.00,99 257.12,[tp 1.20722],
2023.02.28 20:50:35,53631003,USDMXN,sell,out,1.14, 18.31988,69456873,0.00,0.00,0.00,- 233.17,99 023.95,,
2023.02.28 20:52:26,53631355,USDMXN,sell,in,0.83, 18.32014,69457229,0.00,0.00,0.00,0.00,99 023.95,,
2023.02.28 20:54:51,53631650,USDMXN,buy,in/out,1, 18.34538,69457530,0.00,0.00,0.00,- 114.19,98 909.76,,
2023.02.28 21:05:24,53632406,EURGBP,sell,out,0.91, 0.87799,69458326,0.00,0.00,0.00, 158.10,99 067.86,[tp 0.87799],
2023.02.28 21:07:27,53632636,EURNOK,buy,in,0.07, 10.97010,69458556,0.00,0.00,0.00,0.00,99 067.86,,
2023.02.28 21:16:37,53633320,EURMXN,sell,out,0.13, 19.39985,69459272,0.00,0.00,0.00,- 34.15,99 033.71,,
2023.02.28 21:18:39,53633649,EURMXN,sell,in,0.44, 19.39512,69459603,0.00,0.00,0.00,0.00,99 033.71,,
2023.02.28 21:38:11,53636831,EURMXN,sell,in,0.44, 19.40136,69462832,0.00,0.00,0.00,0.00,99 033.71,,
2023.02.28 21:38:19,53636852,EURMXN,sell,in,0.88, 19.40162,69462854,0.00,0.00,0.00,0.00,99 033.71,,
2023.02.28 21:39:30,53636952,EURMXN,sell,in,1.76, 19.40207,69462954,0.00,0.00,0.00,0.00,99 033.71,,
2023.02.28 21:41:02,53636998,USDCAD,sell,out,0.76, 1.36251,69463005,0.00,0.00,0.00, 44.62,99 078.33,[tp 1.36247],
2023.02.28 21:41:12,53637021,EURMXN,sell,in,3.52, 19.39947,69463030,0.00,0.00,0.00,0.00,99 078.33,,
