opentime,Position,Symbol,Type,Volume,openprice,S / L,T / P,closetime,closeprice,Commission,Swap,Profit,,
2023.02.28 20:15:25,69451372,USDCHF,buy,3.74, 0.93839, 0.93789, 0.93880,2023.02.28 20:29:07, 0.93881,0.00,0.00, 167.32,,
2023.02.28 20:26:44,69452449,USDCAD,buy,6.47, 1.36190, 1.36148, 1.36202,2023.02.28 20:45:27, 1.36149,0.00,0.00,- 194.84,,
2023.03.01 18:10:58,69524417,USDCAD,buy,1.25, 1.36221, 1.36021, 1.36463,2023.03.01 18:46:27, 1.36016,0.00,0.00,- 188.40,,
2023.03.01 18:15:34,69524661,USDCHF,buy,1.04, 0.93997, 0.93817, 0.94108,2023.03.01 18:32:36, 0.93815,0.00,0.00,- 201.76,,
2023.03.01 18:26:41,69525164,USDJPY,buy,2.18, 136.020, 135.896, 136.109,2023.03.01 18:47:40, 135.895,0.00,0.00,- 200.52,,
2023.03.01 18:31:50,69525428,GBPJPY,buy,1.5, 163.475, 163.295, 163.580,2023.03.01 19:15:30, 163.294,0.00,0.00,- 199.97,,
2023.03.01 18:53:31,69526536,GBPUSD,buy,1.33, 1.20322, 1.20189, 1.20474,2023.03.01 19:57:12, 1.20187,0.00,0.00,- 179.55,,
2023.03.01 18:59:16,69526721,EURGBP,buy,0.95, 0.88708, 0.88535, 0.88838,2023.03.02 09:16:44, 0.88838,0.00,- 6.20, 147.86,,
2023.03.01 19:04:36,69526917,EURUSD,buy,3.3, 1.06724, 1.06664, 1.06791,2023.03.01 19:29:40, 1.06661,0.00,0.00,- 207.90,,
2023.03.01 19:24:18,69527881,USDCHF,buy,3.03, 0.93911, 0.93825, 0.93913,2023.03.01 19:29:16, 0.93914,0.00,0.00, 9.68,,
2023.03.02 03:45:39,69540483,GBPJPY,buy,3.13 / 6.09, 163.744,,,2023.03.02 18:37:27, 163.344,0.00,0.00,- 915.31,,
2023.03.02 03:47:06,69540535,GBPJPY,sell,6.09, 163.717,,,2023.03.02 18:36:55, 163.369,0.00,0.00,1 549.65,,
2023.03.02 03:48:26,69540563,USDCHF,buy,13.14, 0.94171, 0.94031, 0.94239,2023.03.02 19:12:15, 0.94241,0.00,0.00, 976.01,,
2023.03.02 03:49:21,69540574,USDCHF,sell,13.14, 0.94134, 0.94334, 0.93884,2023.03.02 19:33:47, 0.94289,0.00,0.00,-2 160.06,,
2023.03.02 18:22:56,69581177,GBPUSD,buy,3.13, 1.19505, 1.19443, 1.19574,2023.03.02 18:28:28, 1.19442,0.00,0.00,- 197.19,,
2023.03.02 18:43:13,69583516,USDCAD,buy,2.78, 1.36118, 1.36023, 1.36254,2023.03.02 19:49:56, 1.36258,0.00,0.00, 285.63,,
2023.03.02 18:54:29,69585409,USDJPY,buy,2.84, 136.828, 136.728, 136.922,2023.03.02 19:15:43, 136.922,0.00,0.00, 194.97,,
2023.03.02 18:57:02,69585984,EURUSD,buy,1.96, 1.05951, 1.05848, 1.06047,2023.03.02 19:18:27, 1.05847,0.00,0.00,- 203.84,,
2023.03.02 18:59:15,69586252,GBPUSD,buy,1.31, 1.19396, 1.19248, 1.19499,2023.03.02 20:26:07, 1.19248,0.00,0.00,- 193.88,,
2023.03.02 19:02:55,69586398,USDCHF,sell,13.14, 0.94219, 0.94334, 0.93972,2023.03.02 19:38:14, 0.94337,0.00,0.00,-1 643.60,,
2023.03.02 19:47:06,69588741,EURGBP,buy,5.71, 0.88720, 0.88683, 0.88744,2023.03.02 19:50:50, 0.88679,0.00,0.00,- 279.31,,
2023.03.02 19:51:59,69588852,USDCAD,buy,1.63, 1.36271, 1.36191, 1.36319,2023.03.02 20:35:56, 1.36191,0.00,0.00,- 95.75,,
2023.03.02 19:56:27,69589013,USDJPY,buy,0.48, 136.993, 136.722, 137.048,2023.03.02 20:58:56, 136.721,0.00,0.00,- 95.49,,
