opentime,Position,Symbol,Type,Volume,openprice,S / L,T / P,closetime,closeprice,Commission,Swap,Profit,,
2023.02.24 18:03:45,69257202,EURGBP,buy,2.49, 0.88257, 0.88156, 0.88299,2023.02.24 18:23:11, 0.88300,0.00,0.00, 127.89,,
2023.02.24 18:19:23,69260442,GBPJPY,buy,0.99, 162.866, 162.454, 163.025,2023.02.24 19:03:19, 163.029,0.00,0.00, 118.28,,
2023.02.24 18:38:51,69264383,USDCAD,buy,9.09, 1.36091, 1.36045, 1.36178,2023.02.24 21:48:51, 1.36042,0.00,0.00,- 324.45,,
2023.02.24 21:38:44,69282178,EURUSD,buy,16.7, 1.05512,,,2023.02.24 21:41:53, 1.05478,0.00,0.00,- 567.80,,
2023.02.28 19:19:02,69445945,USDMXN,buy,1.14, 18.35735, 18.30000, 18.35736,2023.02.28 20:50:35, 18.31988,0.00,0.00,- 233.17,,
2023.02.28 19:29:37,69446900,EURUSD,sell,1.53, 1.06010, 1.06075, 1.05836,2023.02.28 19:54:34, 1.06080,0.00,0.00,- 107.10,,
2023.02.28 19:44:43,69448289,USDCAD,buy,0.76, 1.36171, 1.35992, 1.36247,2023.02.28 21:41:02, 1.36251,0.00,0.00, 44.62,,
2023.02.28 19:51:29,69449096,USDCHF,sell,0.52, 0.93728, 0.93898, 0.93507,2023.02.28 20:27:40, 0.93899,0.00,0.00,- 94.70,,
2023.02.28 19:56:40,69449371,EURGBP,buy,0.91, 0.87655, 0.87564, 0.87799,2023.02.28 21:05:24, 0.87799,0.00,0.00, 158.10,,
2023.02.28 20:04:36,69449676,GBPUSD,sell,0.5, 1.20932, 1.21132, 1.20722,2023.02.28 20:38:53, 1.20722,0.00,0.00, 105.00,,
2023.02.28 20:14:07,69451285,EURMXN,buy,0.13, 19.44803, 19.38803, 19.47803,2023.02.28 21:16:37, 19.39985,0.00,0.00,- 34.15,,
2023.02.28 20:22:56,69452340,EURUSD,sell,0.4, 1.05884, 1.06131, 1.05844,2023.02.28 21:58:06, 1.05844,0.00,0.00, 16.00,,
2023.02.28 20:52:26,69457229,USDMXN,sell,1, 18.31929, 18.29000, 18.35000,2023.02.28 22:26:36, 18.34538,0.00,0.00,- 142.28,,
2023.02.28 21:07:27,69458556,EURNOK,buy,0.07, 10.97010, 10.94510, 10.97880,2023.03.01 02:00:00, 10.97965,0.00,- 0.73, 6.43,,
2023.02.28 21:18:39,69459603,EURMXN,sell,14.08, 19.39193, 19.44621, 19.38431,2023.02.28 22:25:15, 19.40642,0.00,0.00,-1 114.17,,
2023.02.28 22:29:10,69465792,EURGBP,buy,1.1, 0.87842, 0.87000,,2023.03.03 15:06:19, 0.88513,0.00,- 21.49, 884.80,,
2023.02.28 22:32:45,69465894,USDMXN,buy,4.51, 18.34749, 18.29000, 18.35000,2023.02.28 22:57:26, 18.28944,0.00,0.00,-1 431.46,,
2023.02.28 22:40:46,69466213,USDCAD,buy,7.4, 1.36459, 1.36251, 1.37000,2023.03.01 05:23:46, 1.36305,0.00,- 8.50,- 834.94,,
2023.02.28 23:26:07,69467378,GBPJPY,sell,0.96, 163.792, 163.930, 163.710,2023.03.01 00:03:04, 163.704,0.00,- 15.05, 62.06,,
2023.03.01 18:38:43,69525717,EURNOK,buy,0.62, 11.10565, 11.07299, 11.13831,2023.03.01 19:16:04, 11.08042,0.00,0.00,- 150.48,,
2023.03.01 18:43:57,69525975,EURCHF,buy,0.72, 1.00198, 1.00075, 1.00311,2023.03.02 00:03:55, 1.00060,0.00, 1.62,- 105.78,,
2023.03.01 18:49:23,69526347,GBPJPY,buy,0.35, 163.530, 163.155, 163.705,2023.03.01 19:53:47, 163.446,0.00,0.00,- 21.63,,
2023.03.01 18:57:37,69526665,EURMXN,sell,0.15, 19.30549, 19.42186, 19.27549,2023.03.01 19:53:07, 19.35066,0.00,0.00,- 37.41,,
2023.03.01 19:05:23,69526949,GBPUSD,buy,0.41, 1.20366, 1.20289, 1.20601,2023.03.01 19:15:29, 1.20287,0.00,0.00,- 32.39,,
2023.03.01 19:10:11,69527176,EURUSD,buy,3.73, 1.06783, 1.06744, 1.06960,2023.03.01 19:11:32, 1.06743,0.00,0.00,- 149.20,,
2023.03.01 19:14:29,69527486,USDMXN,sell,0.16, 18.07587, 18.18987, 18.05310,2023.03.01 19:52:29, 18.13653,0.00,0.00,- 53.51,,
2023.03.01 19:21:11,69527759,USDCAD,buy,1.7, 1.36010, 1.35932, 1.36142,2023.03.01 19:53:23, 1.35981,0.00,0.00,- 36.26,,
2023.03.01 19:55:27,69528851,EURUSD,buy,0.78, 1.06695, 1.06571, 1.06873,2023.03.01 20:02:14, 1.06616,0.00,0.00,- 61.62,,
2023.03.01 20:06:52,69529318,USDCHF,buy,1.28, 0.94022, 0.93951, 0.94045,2023.03.01 20:32:44, 0.94046,0.00,0.00, 32.66,,
2023.03.02 18:07:24,69580521,GBPJPY,buy,1.86, 163.423, 163.123, 163.773,2023.03.02 20:25:54, 163.289,0.00,0.00,- 182.02,,
