opentime,Position,Symbol,Type,Volume,openprice,S / L,T / P,closetime,closeprice,Commission,Swap,Profit,,
2023.02.28 19:52:54,69449157,EURUSD,buy,3, 1.06029, 1.05729, 1.07029,2023.03.01 02:02:28, 1.05727,0.00,- 26.97,- 906.00,,
2023.02.28 20:06:05,69449978,USDJPY,buy,1.5, 135.807, 135.507, 136.657,2023.03.01 13:18:21, 135.506,0.00, 9.98,- 333.20,,
2023.02.28 20:15:57,69451515,GBPJPY,sell,2, 164.088, 164.388, 163.438,2023.03.01 09:25:01, 164.388,0.00,- 31.34,- 440.18,,
2023.02.28 20:19:19,69452223,AUDUSD,buy,2.5, 0.67448, 0.67048, 0.68348,2023.03.01 02:30:02, 0.67047,0.00,- 11.03,-1 002.50,,
2023.02.28 20:22:02,69452324,USDCAD,sell,3, 1.36167, 1.36517, 1.35317,2023.03.01 02:14:24, 1.36518,0.00,- 7.12,- 771.33,,
2023.02.28 20:25:30,69452421,EURGBP,buy,2, 0.87696, 0.87296, 0.88696,2023.03.01 15:33:43, 0.88697,0.00,- 13.05,2 408.57,,
2023.02.28 20:30:26,69452967,USDMXN,sell,3, 18.32873, 18.38660, 18.30089,2023.02.28 23:01:18, 18.30085,0.00,0.00, 457.03,,
2023.02.28 20:37:01,69454272,EURUSD,buy,3, 1.05908, 1.05608, 1.06658,2023.03.01 12:57:46, 1.06659,0.00,- 26.97,2 253.00,,
2023.03.01 18:53:25,69526533,EURUSD,buy,5, 1.06762, 1.06462, 1.07562,2023.03.01 21:32:19, 1.06461,0.00,0.00,-1 505.00,,
2023.03.01 18:55:14,69526586,USDJPY,sell,3, 135.876, 136.226, 134.926,2023.03.01 21:19:33, 136.228,0.00,0.00,- 775.17,,
2023.03.01 18:56:12,69526611,AUDUSD,sell,3, 0.67653, 0.67903, 0.67053,2023.03.02 18:33:32, 0.67251,0.00, 1.35,1 206.00,,
2023.03.01 18:56:49,69526639,EURJPY,buy,3, 145.002, 144.702, 145.752,2023.03.03 01:33:09, 144.694,0.00, 31.85,- 676.80,,
2023.03.01 18:58:14,69526691,USDCAD,sell,4.5, 1.35932, 1.36182, 1.35382,2023.03.01 21:08:38, 1.36183,0.00,0.00,- 829.40,,
2023.03.01 18:59:04,69526717,EURGBP,sell,3, 0.88689, 0.88989, 0.87839,2023.03.03 02:17:17, 0.88691,0.00, 14.74,- 7.17,,
2023.03.01 19:00:06,69526769,EURUSD,buy,4, 1.06742, 1.06392, 1.07642,2023.03.02 07:49:22, 1.06390,0.00,- 35.96,-1 408.00,,
2023.03.01 19:01:26,69526811,USDCAD,sell,2.5, 1.35945, 1.36245, 1.35245,2023.03.02 03:41:31, 1.36246,0.00,- 5.96,- 552.31,,
2023.03.02 18:35:42,69581993,EURUSD,buy,0.01, 1.05980, 1.05730, 1.06730,2023.03.03 02:17:22, 1.05984,0.00,- 0.09, 0.04,,
2023.03.02 18:37:15,69582332,GBPUSD,sell,3.5, 1.19427, 1.19677, 1.18777,2023.03.03 02:17:44, 1.19535,0.00, 3.18,- 378.00,,
2023.03.02 18:38:49,69582565,EURJPY,sell,4, 144.937,,,2023.03.03 02:17:27, 144.914,0.00,- 34.29, 67.30,,
2023.03.02 18:49:49,69584351,GBPJPY,sell,4, 163.331, 163.581, 162.781,2023.03.03 02:17:48, 163.413,0.00,- 62.44,- 239.94,,
2023.03.02 18:51:22,69584768,NZDUSD,buy,3, 0.62137, 0.61787, 0.62887,2023.03.03 02:17:31, 0.62186,0.00,- 4.86, 147.00,,
2023.03.02 18:52:13,69584863,EURUSD,sell,5, 1.05933, 1.06183, 1.05183,2023.03.03 02:17:52, 1.05995,0.00, 24.59,- 310.00,,
2023.03.02 18:54:14,69585339,GBPUSD,buy,3, 1.19405, 1.19155, 1.20155,2023.03.03 02:17:36, 1.19509,0.00,- 17.08, 312.00,,
2023.03.02 19:00:23,69586313,USDCAD,buy,4, 1.36181, 1.35831, 1.36981,2023.03.03 02:17:55, 1.35955,0.00,- 6.32,- 664.93,,
2023.03.02 19:01:22,69586343,EURGBP,buy,4, 0.88728, 0.88428, 0.89378,2023.03.03 02:18:00, 0.88664,0.00,- 25.93,- 305.95,,
