opentime,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment,
2023.02.28 17:12:17,53608836,,balance,,,,,0.00,0.00,0.00,100 000.00,100 000.00,User with ID d32086d9-22b4-4a09,
2023.02.28 19:52:54,53623415,EURUSD,buy,in,3, 1.06029,69449157,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:06:05,53624194,USDJPY,buy,in,1.5, 135.807,69449978,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:15:57,53625709,GBPJPY,sell,in,2, 164.088,69451515,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:19:19,53626413,AUDUSD,buy,in,2.5, 0.67448,69452223,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:22:02,53626518,USDCAD,sell,in,3, 1.36167,69452324,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:25:30,53626620,EURGBP,buy,in,2, 0.87696,69452421,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:30:26,53627144,USDMXN,sell,in,3, 18.32873,69452967,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 20:37:01,53628428,EURUSD,buy,in,3, 1.05908,69454272,0.00,0.00,0.00,0.00,100 000.00,,
2023.02.28 23:01:18,53640704,USDMXN,buy,out,3, 18.30085,69466917,0.00,0.00,0.00, 457.03,100 457.03,[tp 18.30089],
2023.03.01 02:02:28,53642407,EURUSD,sell,out,3, 1.05727,69468726,0.00,0.00,- 26.97,- 906.00,99 524.06,[sl 1.05729],
2023.03.01 02:14:24,53642596,USDCAD,buy,out,3, 1.36518,69468935,0.00,0.00,- 7.12,- 771.33,98 745.61,[sl 1.36517],
2023.03.01 02:30:02,53642774,AUDUSD,sell,out,2.5, 0.67047,69469148,0.00,0.00,- 11.03,-1 002.50,97 732.08,[sl 0.67048],
2023.03.01 09:25:01,53655376,GBPJPY,buy,out,2, 164.388,69482772,0.00,0.00,- 31.34,- 440.18,97 260.56,[sl 164.388],
2023.03.01 12:57:46,53670304,EURUSD,sell,out,3, 1.06659,69498269,0.00,0.00,- 26.97,2 253.00,99 486.59,[tp 1.06658],
2023.03.01 13:18:21,53671984,USDJPY,sell,out,1.5, 135.506,69500020,0.00,0.00, 9.98,- 333.20,99 163.37,[sl 135.507],
2023.03.01 15:33:43,53681703,EURGBP,sell,out,2, 0.88697,69510200,0.00,0.00,- 13.05,2 408.57,101 558.89,[tp 0.88696],
2023.03.01 18:53:25,53697494,EURUSD,buy,in,5, 1.06762,69526533,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 18:55:14,53697539,USDJPY,sell,in,3, 135.876,69526586,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 18:56:12,53697567,AUDUSD,sell,in,3, 0.67653,69526611,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 18:56:49,53697591,EURJPY,buy,in,3, 145.002,69526639,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 18:58:14,53697642,USDCAD,sell,in,4.5, 1.35932,69526691,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 18:59:04,53697667,EURGBP,sell,in,3, 0.88689,69526717,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 19:00:06,53697704,EURUSD,buy,in,4, 1.06742,69526769,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 19:01:26,53697741,USDCAD,sell,in,2.5, 1.35945,69526811,0.00,0.00,0.00,0.00,101 558.89,,
2023.03.01 21:08:38,53701691,USDCAD,buy,out,4.5, 1.36183,69531008,0.00,0.00,0.00,- 829.40,100 729.49,[sl 1.36182],
2023.03.01 21:19:33,53701948,USDJPY,buy,out,3, 136.228,69531266,0.00,0.00,0.00,- 775.17,99 954.32,[sl 136.226],
