opentime,Order,Symbol,Type,Volume,Price,S / L,T / P,closetime,State,,Comment,,,
2023.02.28 19:52:54,69449157,EURUSD,buy,3 / 3,market,,,2023.02.28 19:52:54,filled,,,,,
2023.02.28 20:06:05,69449978,USDJPY,buy,1.5 / 1.5,market,,,2023.02.28 20:06:05,filled,,,,,
2023.02.28 20:15:57,69451515,GBPJPY,sell,2 / 2,market,,,2023.02.28 20:15:57,filled,,,,,
2023.02.28 20:19:19,69452223,AUDUSD,buy,2.5 / 2.5,market,,,2023.02.28 20:19:19,filled,,,,,
2023.02.28 20:22:02,69452324,USDCAD,sell,3 / 3,market,,,2023.02.28 20:22:02,filled,,,,,
2023.02.28 20:25:30,69452421,EURGBP,buy,2 / 2,market,,,2023.02.28 20:25:30,filled,,,,,
2023.02.28 20:30:26,69452967,USDMXN,sell,3 / 3,market,,,2023.02.28 20:30:26,filled,,,,,
2023.02.28 20:37:01,69454272,EURUSD,buy,3 / 3,market,,,2023.02.28 20:37:01,filled,,,,,
2023.02.28 23:01:18,69466917,USDMXN,buy,3 / 3, 18.30089,,,2023.02.28 23:01:18,filled,,[tp 18.30089],,,
2023.03.01 02:02:28,69468726,EURUSD,sell,3 / 3, 1.05729,,,2023.03.01 02:02:28,filled,,[sl 1.05729],,,
2023.03.01 02:14:24,69468935,USDCAD,buy,3 / 3, 1.36517,,,2023.03.01 02:14:24,filled,,[sl 1.36517],,,
2023.03.01 02:30:02,69469148,AUDUSD,sell,2.5 / 2.5, 0.67048,,,2023.03.01 02:30:02,filled,,[sl 0.67048],,,
2023.03.01 09:25:01,69482772,GBPJPY,buy,2 / 2, 164.388,,,2023.03.01 09:25:01,filled,,[sl 164.388],,,
2023.03.01 12:57:46,69498269,EURUSD,sell,3 / 3, 1.06658,,,2023.03.01 12:57:46,filled,,[tp 1.06658],,,
2023.03.01 13:18:21,69500020,USDJPY,sell,1.5 / 1.5, 135.507,,,2023.03.01 13:18:21,filled,,[sl 135.507],,,
